,City,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
0,arraial do cabo,-22.97,-42.03,75.2,60,20,10.29,BR,1596650870
1,barrow,71.29,-156.79,44.6,87,75,13.87,US,1596650871
2,vestmannaeyjar,63.44,-20.27,51.8,87,40,10.29,IS,1596650871
3,tarija,-21.54,-64.73,75.2,31,0,5.82,BO,1596650871
4,new norfolk,-42.78,147.06,45,78,99,3,AU,1596650871
5,tuktoyaktuk,69.45,-133.04,46.4,87,90,5.82,CA,1596650643
6,mount darwin,-16.77,31.58,64.72,43,4,3.89,ZW,1596650872
7,puerto madryn,-42.77,-65.04,61.93,35,18,24.27,AR,1596650873
8,hamilton,39.18,-84.53,77,53,40,3.36,US,1596650161
9,nizhneyansk,-10.13,-76.2,77,31,20,5.82,PE,1596650874
10,ambo,70.63,147.92,49.17,67,0,7.29,RU,1596650874
11,chokurdakh,38.78,63.88,82.4,24,0,13.87,TM,1596650874
12,sayat,-21.2,-175.2,57.2,100,20,6.33,TO,1596650742
13,vaini,6.58,3.75,78.8,78,75,9.17,NG,1596650875
14,lagos,49.28,120.73,57.45,94,73,5.44,CN,1596650875
15,yakeshi,51.38,1.39,73.99,41,19,5.01,GB,1596650875
16,margate,3.07,172.79,82.89,79,6,18.86,KI,1596650876
17,malwan,-23.12,-134.97,70.77,82,100,10.94,PF,1596650876
18,jabiru,-46.19,168.86,39.99,96,99,3,NZ,1596650877
19,butaritari,-24.87,113.63,57.2,71,0,9.17,AU,1596650770
20,rikitea,-54.8,-68.3,44.6,52,75,4.7,AR,1596650604
21,mataura,-3.48,23.43,78.01,60,62,2.26,CD,1596650877
22,carnarvon,40.43,71.72,82.4,39,0,4.7,UZ,1596650878
23,ushuaia,-25.53,-54.62,82.4,44,0,6.93,PY,1596650878
24,lodja,-22.67,167.48,68.38,67,0,3.76,NC,1596650878
25,komsomolskiy,25.52,90.22,78.87,86,65,9.06,IN,1596650879
26,presidente franco,18.95,76.75,76.12,85,100,13.33,IN,1596650879
27,vao,57.48,-4.22,62.6,77,75,9.17,GB,1596650879
28,tura,64.75,177.48,39.2,86,31,4.47,RU,1596650734
29,gangakher,-0.74,-90.35,77,65,40,21.92,EC,1596650758
30,inverness,62.58,6.13,63,87,75,1.12,NO,1596650880
31,anadyr,3.46,8.55,78.8,83,20,11.41,GQ,1596650881
32,puerto ayora,34.64,-120.46,66.99,93,60,11.41,US,1596650881
33,samusu,-34.42,19.23,46.99,90,21,6.31,ZA,1596650882
34,roald,-34.53,20.04,48.2,81,64,4.7,ZA,1596650882
35,luba,51.1,66.32,74.82,44,0,17.63,KZ,1596650882
36,lompoc,-3.67,152.43,79.65,81,100,9.42,PG,1596650882
37,hermanus,-9.8,-139.03,77.94,71,30,18.92,PF,1596650750
38,bredasdorp,-22.28,166.46,66.99,93,75,4.7,NC,1596650815
39,derzhavinsk,-3.7,128.18,75.99,16,67,7.09,ID,1596650883
40,namatanai,67.45,153.68,48.15,76,2,4.45,RU,1596650608
41,atuona,29.97,40.21,93.2,14,0,16.11,SA,1596650884
42,noumea,30.37,-88.56,96.8,37,20,5.82,US,1596650884
43,ambon,-53.15,-70.92,39,86,90,13.87,CL,1596650697
44,srednekolymsk,19.73,-155.09,73.4,78,75,3.36,US,1596650618
