,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_speed,Country,Date
0,rikitea,-23.12,-134.97,72.9,90,96,12.01,PF,1596609330
1,saint-philippe,-21.36,55.77,72,64,47,13.87,RE,1596609330
2,taolanaro,62.46,-114.35,59,100,75,9.17,CA,1596609092
3,yellowknife,-18.37,-66.97,36.52,77,0,2.82,BO,1596609331
4,poopo,-38,-57.56,60.01,100,100,3.36,AR,1596609032
5,mar del plata,-21.21,-159.78,73.4,100,100,11.41,CK,1596609331
6,avarua,-25.24,130.99,73.4,33,75,11.41,AU,1596609332
7,yulara,-0.74,-90.35,66,95,99,3,EC,1596609332
8,puerto ayora,-54.8,-68.3,48.2,39,40,4.7,AR,1596609332
9,ushuaia,-21.2,-175.2,68,82,20,5.82,TO,1596609333
10,vaini,-34.53,20.04,35.6,93,4,4.7,ZA,1596609333
11,bredasdorp,-33.87,121.9,55.4,100,75,17.22,AU,1596609333
12,esperance,18.8,110.4,84.65,76,100,10.51,CN,1596609334
13,wanning,25.47,-80.48,82.4,83,1,5.82,US,1596609334
14,homestead,44.9,-89.77,54,71,40,3.36,US,1596609334
15,marathon,71.69,128.87,64.9,44,86,2.8,RU,1596609334
16,tiksi,-33.93,18.42,54,65,0,12.75,ZA,1596609335
17,cape town,42.6,-73.97,68,89,2,1.01,US,1596609335
18,albany,20.7,-105.2,82,94,93,3.02,MX,1596609335
19,ixtapa,42.1,-79.24,62.01,87,90,8.05,US,1596609174
20,jamestown,-38.55,-58.74,61,87,100,14,AR,1596609286
21,necochea,39.45,-86.18,57.99,97,0,3.18,US,1596609336
22,bud,22.29,114.16,86,73,100,8.99,HK,1596609336
23,victoria,70.47,-68.59,39.2,100,90,10.29,CA,1596609337
24,samalaeulu,-46.13,167.68,48,88,58,3.15,NZ,1596609337
25,clyde river,5.41,100.34,89.6,66,20,9.17,MY,1596609337
26,tuatapere,50.68,156.12,54.59,86,100,1.66,RU,1596609338
27,georgetown,-33.65,115.33,62.01,76,27,8.01,AU,1596609338
28,samusu,11.67,92.75,84.36,76,100,21.39,IN,1596609339
29,severo-kurilsk,30.95,118.76,96.84,54,84,5.06,CN,1596609339
30,busselton,-42.88,147.33,45,75,75,18.34,AU,1596609339
31,port blair,-20.33,-40.29,64.4,93,75,4.7,BR,1596609340
32,xuanzhou,32.67,-17.1,71.6,73,40,5.82,PT,1596609340
33,hobart,65.61,-37.64,39.2,100,2,4.38,GL,1596609340
34,vila velha,-53.15,-70.92,37.4,78,100,10.29,CL,1596609341
35,ponta do sol,-45.58,-72.07,28.4,92,67,3.09,CL,1596609342
36,tasiilaq,-46.19,168.86,48,88,15,3.44,NZ,1596609342
37,punta arenas,38.73,-27.07,73.4,94,40,7.58,PT,1596609342
38,vaitupu,3.07,172.79,83.8,76,49,14.94,KI,1596609343
39,coihaique,-46.6,168.33,48,88,34,6.26,NZ,1596609343
40,mataura,22.08,-159.32,80.6,69,75,17.22,US,1596609345
41,praia da vitoria,-25.3,152.85,72,74,9,3,AU,1596609345
42,butaritari,31.98,35.69,75.2,60,20,13.87,JO,1596609345
43,bluff,28.23,83.98,81.82,72,94,1.5,NP,1596609346
44,kapaa,-9.8,-139.03,79.25,76,37,20.83,PF,1596609346
45,hervey bay,52.47,96.11,81.93,32,4,1.32,RU,1596609347
46,yarqa,-22.97,-42.03,67.19,70,0,8.48,BR,1596609347
47,pokhara,-2.57,150.8,83.1,79,100,15.5,PG,1596609348
48,atuona,-34.42,19.23,39,94,0,7.36,ZA,1596609348
49,toora-khem,66.83,70.83,71.22,41,0,11.92,RU,1596609349
50,arraial do cabo,-20.52,57.52,68,77,40,6.93,MU,1596609349
51,kavieng,38.52,-28.7,69.8,88,75,6.93,PT,1596609349
52,hermanus,46.74,-119.9,71.6,67,1,5.06,US,1596609350
53,yar-sale,29.96,122.3,81.52,86,100,25.3,CN,1596609350
54,souillac,59.7,30.79,64.4,88,75,6.71,RU,1596609351
55,ribeira grande,36.68,-101.48,71.6,68,40,18.34,US,1596609351
56,mattawa,13.43,-86.8,65.86,100,77,3.98,HN,1596609352
57,shenjiamen,-20.73,139.5,86,13,0,10.29,AU,1596609352
58,illoqqortoormiut,-33.02,27.91,53.6,76,20,9.17,ZA,1596609353
59,nikolskoye,31.6,131.37,86,79,40,17.22,JP,1596609353
60,guymon,-7.51,-63.02,73.85,57,0,2.37,BR,1596609353
61,san marcos de colon,63.84,-22.43,48.2,100,90,12.75,IS,1596609353
62,mount isa,7.98,49.82,90.36,45,79,30.56,SO,1596609354
63,east london,32.5,62.5,91.87,11,0,6.46,AF,1596609355
64,nichinan,-34,24.73,51.01,80,27,1.88,ZA,1596609355
65,humaita,-33.59,26.89,55.89,66,94,1.41,ZA,1596609355
66,grindavik,55.7,37.38,71.6,56,100,6.71,RU,1596609190
67,eyl,13.52,35.77,71.64,87,100,13.82,SD,1596609356
68,farah,50.63,38.69,71.91,56,0,10.8,RU,1596609357
69,kruisfontein,30.33,10.85,92.35,10,0,13,LY,1596609357
70,port alfred,32.35,-85.2,78.8,94,1,3.58,US,1596609357
71,marfino,72.79,-56.15,37.74,76,97,5.66,GL,1596609358
72,doka,34.64,-120.46,57.2,93,95,5.82,US,1596609118
73,alekseyevka,-9.17,-60.63,72.37,57,0,1.99,BR,1596609358
74,nalut,57.79,-152.41,60.8,63,1,12.75,US,1596609359
75,russell,40.69,-76.2,66.99,97,0,3.31,US,1596609359
76,upernavik,-20.34,57.76,72,77,40,6.93,MU,1596609359
77,lompoc,69.45,-133.04,48.2,87,90,6.93,CA,1596609360
78,aripuana,41.14,-73.36,73.99,88,0,1.01,US,1596609360
79,teneguiban,39.95,-74.99,75.99,83,75,9.17,US,1596609238
80,kodiak,53.94,139.92,53.4,77,100,4.72,RU,1596609360
81,pottsville,70.63,147.92,61.65,51,10,3.04,RU,1596609361
